Date,"Open Price","Close Price","High Price","Low Price",Volume
23/07/2014,6795.34,6798.15,6822.65,6773.11,588953600
24/07/2014,6798.15,6821.46,6821.46,6767.33,541591296
25/07/2014,6821.46,6791.55,6830.77,6780.65,661619968
28/07/2014,6791.55,6788.07,6809.61,6761.77,528416416
29/07/2014,6788.07,6807.75,6833.67,6784.04,526963040
30/07/2014,6807.75,6773.44,6815.29,6758.24,692780416
31/07/2014,6773.44,6730.11,6797.09,6716.29,919565440
01/08/2014,6730.11,6679.18,6730.11,6624.72,690905472
04/08/2014,6679.18,6677.52,6715.56,6669.93,522832704
05/08/2014,6677.52,6682.48,6713.52,6671.46,512852256
06/08/2014,6682.48,6636.16,6682.48,6588.43,803798848
07/08/2014,6636.16,6597.37,6649.05,6589.78,565630080
08/08/2014,6597.37,6567.36,6597.37,6528.73,645423424
11/08/2014,6567.36,6632.82,6645.83,6567.36,494367008
12/08/2014,6632.82,6632.42,6643.7,6612.52,448281792
13/08/2014,6632.42,6656.68,6664.34,6625.98,527563552
14/08/2014,6656.68,6685.26,6694.64,6641.81,512629248
15/08/2014,6685.26,6689.08,6742.82,6685.25,545266432
18/08/2014,6689.08,6741.25,6745.72,6689.08,413053440
19/08/2014,6741.25,6779.31,6782.9,6740.65,459659904
20/08/2014,6779.31,6755.48,6781.23,6739.76,466210976
21/08/2014,6755.48,6777.66,6780.73,6752.7,423431040
22/08/2014,6777.66,6775.25,6784.63,6746.37,571522624
26/08/2014,6775.25,6822.76,6827.32,6775.25,538317696
27/08/2014,6822.76,6830.66,6830.66,6813.24,481233280
28/08/2014,6830.66,6805.8,6831.19,6796.86,498070080
29/08/2014,6805.8,6819.75,6828.92,6782.63,720978560
01/09/2014,6819.75,6825.31,6825.31,6798.33,403409024
02/09/2014,6825.31,6829.17,6849.28,6812.31,820231424
03/09/2014,6829.17,6873.58,6898.62,6826.73,674899712
04/09/2014,6873.58,6877.97,6904.86,6866.25,688898752
05/09/2014,6877.97,6855.1,6884.96,6829.1,596549824
08/09/2014,6855.1,6834.77,6855.1,6773.78,752266496
09/09/2014,6834.77,6829,6846.18,6812.5,578227456
10/09/2014,6829,6830.11,6847.79,6800.04,585612160
11/09/2014,6830.11,6799.62,6857.54,6764.86,648015488
12/09/2014,6799.62,6806.96,6832.16,6799.39,552974784
15/09/2014,6806.96,6804.21,6813.87,6771.69,529231776
16/09/2014,6804.21,6792.24,6804.34,6748.09,592887680
17/09/2014,6792.24,6780.9,6816.89,6780.9,596026688
18/09/2014,6780.9,6819.29,6822.6,6769.58,644480384
19/09/2014,6819.29,6837.92,6876,6819.29,1541957504
22/09/2014,6837.92,6773.63,6838.35,6766.89,673944768
23/09/2014,6773.63,6676.08,6777.27,6647.21,762690816
24/09/2014,6676.08,6706.27,6707.26,6651.98,793646016
25/09/2014,6706.27,6639.71,6726.4,6621.48,927460288
26/09/2014,6639.71,6649.39,6664,6615.12,588721472
29/09/2014,6649.39,6646.6,6653.94,6608.66,564786560
30/09/2014,6646.6,6622.72,6658.91,6601.62,882273920
01/10/2014,6622.72,6557.52,6622.81,6539.73,789707264
02/10/2014,6557.52,6446.39,6557.67,6446.39,805719360
03/10/2014,6446.39,6527.91,6542.87,6446.39,750613056
06/10/2014,6527.91,6563.65,6588.31,6527.91,722222976
07/10/2014,6563.65,6495.58,6563.84,6495.58,858000704
08/10/2014,6495.58,6482.24,6502.36,6453.81,822967232
09/10/2014,6482.24,6431.85,6544.21,6425.16,864388992
